1,James,"4,586,625",Mary,"2,985,148"
2,Michael,"4,350,425",Patricia,"1,546,373"
3,Robert,"4,305,346",Jennifer,"1,470,260"
4,John,"4,304,850",Linda,"1,448,217"
5,David,"3,563,511",Elizabeth,"1,395,049"
6,William,"3,443,460",Barbara,"1,379,146"
7,Richard,"2,406,731",Susan,"1,101,447"
8,Joseph,"2,281,833",Jessica,"1,048,185"
9,Thomas,"2,125,282",Karen,"986,083"
10,Christopher,"2,054,571",Sarah,"985,596"
11,Charles,"2,014,431",Lisa,"965,624"
12,Daniel,"1,909,598",Nancy,"957,210"
13,Matthew,"1,626,375",Sandra,"873,476"
14,Anthony,"1,410,412",Betty,"860,122"
15,Mark,"1,349,763",Ashley,"855,088"
16,Donald,"1,292,951",Emily,"844,051"
17,Steven,"1,285,675",Kimberly,"843,885"
18,Andrew,"1,258,208",Margaret,"843,625"
19,Paul,"1,240,331",Donna,"818,300"
20,Joshua,"1,236,272",Michelle,"814,766"
21,Kenneth,"1,196,302",Carol,"801,415"
22,Kevin,"1,180,609",Amanda,"774,175"
23,Brian,"1,171,294",Melissa,"756,273"
24,Timothy,"1,075,595",Deborah,"740,606"
25,Ronald,"1,071,048",Stephanie,"739,794"
26,George,"1,061,539",Rebecca,"728,978"
27,Jason,"1,045,865",Sharon,"720,838"
28,Edward,"1,023,018",Laura,"708,987"
29,Jeffrey,"977,893",Cynthia,"705,809"
30,Ryan,"956,141",Dorothy,"697,522"
31,Jacob,"954,116",Amy,"684,043"
32,Nicholas,"900,868",Kathleen,"675,838"
33,Gary,"900,357",Angela,"660,858"
34,Eric,"883,570",Shirley,"643,445"
35,Jonathan,"861,302",Emma,"609,552"
36,Stephen,"836,870",Brenda,"606,297"
37,Larry,"801,334",Pamela,"592,702"
38,Justin,"785,342",Nicole,"592,373"
39,Scott,"770,627",Anna,"586,790"
40,Brandon,"767,081",Samantha,"586,620"
41,Benjamin,"766,415",Katherine,"562,316"
42,Samuel,"725,374",Christine,"554,351"
43,Gregory,"708,663",Debra,"548,279"
44,Alexander,"697,904",Rachel,"545,408"
45,Patrick,"666,713",Carolyn,"535,512"
46,Frank,"644,933",Janet,"532,883"
47,Raymond,"634,457",Maria,"531,945"
48,Jack,"631,149",Olivia,"529,879"
49,Dennis,"610,240",Heather,"524,159"
50,Jerry,"599,529",Helen,"521,991"
51,Tyler,"599,370",Catherine,"519,846"
52,Aaron,"596,024",Diane,"514,893"
53,Jose,"570,514",Julie,"507,265"
54,Adam,"563,886",Victoria,"496,323"
55,Nathan,"563,313",Joyce,"493,375"
56,Henry,"552,940",Lauren,"473,780"
57,Zachary,"547,705",Kelly,"472,633"
58,Douglas,"544,161",Christina,"471,334"
59,Peter,"533,719",Ruth,"470,497"
60,Kyle,"483,513",Joan,"461,369"
61,Noah,"483,508",Virginia,"460,276"
62,Ethan,"470,038",Judith,"449,493"
63,Jeremy,"443,481",Evelyn,"449,218"
64,Christian,"443,024",Hannah,"443,141"
65,Walter,"430,324",Andrea,"441,094"
66,Keith,"429,542",Megan,"438,962"
67,Austin,"424,642",Cheryl,"436,892"
68,Roger,"423,974",Jacqueline,"419,204"
69,Terry,"422,079",Madison,"410,119"
70,Sean,"422,063",Teresa,"403,101"
71,Gerald,"414,685",Abigail,"400,963"
72,Carl,"404,941",Sophia,"400,325"
73,Dylan,"404,594",Martha,"400,322"
74,Harold,"394,661",Sara,"398,974"
75,Jordan,"393,902",Gloria,"397,491"
76,Jesse,"386,423",Janice,"397,288"
77,Bryan,"385,985",Kathryn,"392,336"
78,Lawrence,"385,860",Ann,"392,251"
79,Arthur,"385,299",Isabella,"387,757"
80,Gabriel,"379,942",Judy,"377,155"
81,Bruce,"373,817",Charlotte,"376,098"
82,Logan,"373,584",Julia,"374,483"
83,Billy,"372,449",Grace,"373,257"
84,Joe,"365,058",Amber,"372,256"
85,Alan,"354,811",Alice,"372,214"
86,Juan,"353,072",Jean,"372,205"
87,Elijah,"352,537",Denise,"371,275"
88,Willie,"341,065",Frances,"370,713"
89,Albert,"339,381",Danielle,"370,525"
90,Wayne,"330,787",Marilyn,"366,336"
91,Randy,"328,830",Natalie,"365,800"
92,Mason,"327,673",Beverly,"365,366"
93,Vincent,"324,187",Diana,"362,823"
94,Liam,"314,543",Brittany,"359,795"
95,Roy,"314,486",Theresa,"359,658"
96,Bobby,"312,303",Kayla,"343,876"
97,Caleb,"310,857",Alexis,"343,195"
98,Bradley,"310,194",Doris,"341,604"
99,Russell,"309,102",Lori,"337,994"
100,Lucas,"308,351",Tiffany,"337,966"
